time,counts,events
1699057538.5921967,27637192,branches
1699057538.5921967,259273508,instructions
1699057538.5921967,564357,branch-misses
1699057538.7006483,27969586,branches
1699057538.7006483,256103294,instructions
1699057538.7006483,1582298,branch-misses
1699057538.8162189,17065246,branches
1699057538.8162189,150876327,instructions
1699057538.8162189,1624526,branch-misses
1699057538.9203794,10362903,branches
1699057538.9203794,120710920,instructions
1699057538.9203794,432384,branch-misses
1699057539.0242825,17016419,branches
1699057539.0242825,170948739,instructions
1699057539.0242825,1552548,branch-misses
1699057539.1322608,43190851,branches
1699057539.1322608,391340880,instructions
1699057539.1322608,4030069,branch-misses
1699057539.2441645,41073860,branches
1699057539.2441645,420780095,instructions
1699057539.2441645,1436390,branch-misses
1699057539.3563116,36554474,branches
1699057539.3563116,397397640,instructions
1699057539.3563116,791287,branch-misses
1699057539.4681861,46395052,branches
1699057539.4681861,450221226,instructions
1699057539.4681861,1763883,branch-misses
1699057539.5800982,32077985,branches
1699057539.5800982,308602822,instructions
1699057539.5800982,944995,branch-misses
1699057539.6880524,33783153,branches
1699057539.6880524,325728445,instructions
1699057539.6880524,1082502,branch-misses
1699057539.800091,42344771,branches
1699057539.800091,409167491,instructions
1699057539.800091,1817157,branch-misses
1699057539.9082177,21954372,branches
1699057539.9082177,208220953,instructions
1699057539.9082177,728821,branch-misses
1699057540.0124862,19135131,branches
1699057540.0124862,180482564,instructions
1699057540.0124862,480656,branch-misses
1699057540.1207151,34801739,branches
1699057540.1207151,328627168,instructions
1699057540.1207151,794741,branch-misses
1699057540.2323716,38355267,branches
1699057540.2323716,360536821,instructions
1699057540.2323716,774805,branch-misses
1699057540.3443506,44061735,branches
1699057540.3443506,398350530,instructions
1699057540.3443506,3057825,branch-misses
1699057540.4563293,41411380,branches
1699057540.4563293,395792149,instructions
1699057540.4563293,1104304,branch-misses
1699057540.5683568,35505165,branches
1699057540.5683568,370627604,instructions
1699057540.5683568,646837,branch-misses
1699057540.6803355,46974367,branches
1699057540.6803355,427018362,instructions
1699057540.6803355,4110052,branch-misses
1699057540.792172,46786214,branches
1699057540.792172,438154436,instructions
1699057540.792172,2699090,branch-misses
1699057540.9042404,34370058,branches
1699057540.9042404,390642843,instructions
1699057540.9042404,923112,branch-misses
1699057541.0162725,36738457,branches
1699057541.0162725,371584451,instructions
1699057541.0162725,1079738,branch-misses
1699057541.1241844,31245187,branches
1699057541.1241844,298252191,instructions
1699057541.1241844,899526,branch-misses
1699057541.2320857,31302734,branches
1699057541.2320857,298928471,instructions
1699057541.2320857,861801,branch-misses
1699057541.3401048,33001680,branches
1699057541.3401048,322855615,instructions
