time,counts,events
1699054265.6801732,27570772,branches
1699054265.6801732,255720216,instructions
1699054265.6801732,1262892,branch-misses
1699054265.7883966,30629903,branches
1699054265.7883966,274484903,instructions
1699054265.7883966,2777894,branch-misses
1699054265.8961704,26524243,branches
1699054265.8961704,258937965,instructions
1699054265.8961704,2265355,branch-misses
1699054266.0041213,21529329,branches
1699054266.0041213,245501956,instructions
1699054266.0041213,631468,branch-misses
1699054266.1122181,26239876,branches
1699054266.1122181,273402007,instructions
1699054266.1122181,625334,branch-misses
1699054266.2202008,30954033,branches
1699054266.2202008,296014846,instructions
1699054266.2202008,913333,branch-misses
1699054266.328069,30965850,branches
1699054266.328069,296579898,instructions
1699054266.328069,882952,branch-misses
1699054266.4401326,30522744,branches
1699054266.4401326,294874443,instructions
1699054266.4401326,1301768,branch-misses
1699054266.5482087,28661062,branches
1699054266.5482087,278257619,instructions
1699054266.5482087,1333225,branch-misses
1699054266.6562743,27707803,branches
1699054266.6562743,264592649,instructions
1699054266.6562743,730426,branch-misses
1699054266.7643952,23094281,branches
1699054266.7643952,217002786,instructions
1699054266.7643952,469315,branch-misses
1699054266.8724203,24455962,branches
1699054266.8724203,229844716,instructions
1699054266.8724203,491282,branch-misses
1699054266.980334,26677059,branches
1699054266.980334,250726932,instructions
1699054266.980334,536211,branch-misses
1699054267.0884202,27103895,branches
1699054267.0884202,253683365,instructions
1699054267.0884202,981167,branch-misses
1699054267.1961982,31194991,branches
1699054267.1961982,273980600,instructions
1699054267.1961982,3335067,branch-misses
1699054267.304176,26843473,branches
1699054267.304176,257557599,instructions
1699054267.304176,2027881,branch-misses
1699054267.4121745,20119933,branches
1699054267.4121745,248210216,instructions
1699054267.4121745,557073,branch-misses
1699054267.5203888,27025624,branches
1699054267.5203888,272785462,instructions
1699054267.5203888,648898,branch-misses
1699054267.6281598,30959889,branches
1699054267.6281598,296015620,instructions
1699054267.6281598,903287,branch-misses
1699054267.736092,31019611,branches
1699054267.736092,297086869,instructions
1699054267.736092,853695,branch-misses
1699054267.844044,29660981,branches
1699054267.844044,286927004,instructions
1699054267.844044,1246030,branch-misses
1699054267.9520943,27582185,branches
1699054267.9520943,267900280,instructions
1699054267.9520943,1363630,branch-misses
1699054268.0626452,27080785,branches
1699054268.0626452,258647033,instructions
1699054268.0626452,703054,branch-misses
1699054268.1683967,26768011,branches
1699054268.1683967,251707083,instructions
1699054268.1683967,536523,branch-misses
1699054268.2763515,26819045,branches
1699054268.2763515,252122051,instructions
1699054268.2763515,534811,branch-misses
1699054268.3844244,26764326,branches
1699054268.3844244,251539842,instructions
1699054268.3844244,536297,branch-misses
1699054268.492323,27449243,branches
1699054268.492323,255333833,instructions
1699054268.492323,1176591,branch-misses
1699054268.6002264,31709736,branches
1699054268.6002264,273312575,instructions
1699054268.6002264,4068065,branch-misses
1699054268.7081773,25498029,branches
1699054268.7081773,259110503,instructions
1699054268.7081773,1189939,branch-misses
1699054268.8161871,19539373,branches
1699054268.8161871,238523978,instructions
1699054268.8161871,429319,branch-misses
1699054268.9242873,28238817,branches
1699054268.9242873,281891653,instructions
1699054268.9242873,757227,branch-misses
1699054269.0321767,30982284,branches
1699054269.0321767,296238751,instructions
1699054269.0321767,889250,branch-misses
1699054269.1400774,31018225,branches
1699054269.1400774,297136901,instructions
1699054269.1400774,848013,branch-misses
1699054269.2480576,29291572,branches
1699054269.2480576,285936343,instructions
1699054269.2480576,1406137,branch-misses
1699054269.3561945,28369763,branches
1699054269.3561945,274459058,instructions
1699054269.3561945,1318929,branch-misses
1699054269.4679244,27466335,branches
1699054269.4679244,259841053,instructions
1699054269.4679244,610385,branch-misses
1699054269.5764084,25283606,branches
1699054269.5764084,237699347,instructions
1699054269.5764084,510310,branch-misses
1699054269.6843846,26842029,branches
1699054269.6843846,252268588,instructions
1699054269.6843846,535348,branch-misses
1699054269.7924285,26730429,branches
1699054269.7924285,251256513,instructions
1699054269.7924285,535901,branch-misses
1699054269.9003386,27877387,branches
1699054269.9003386,257244750,instructions
1699054269.9003386,1431929,branch-misses
1699054270.0082037,31290576,branches
1699054270.0082037,271155845,instructions
1699054270.0082037,4032447,branch-misses
1699054270.1161914,24915442,branches
1699054270.1161914,262591194,instructions
1699054270.1161914,1035396,branch-misses
1699054270.2244792,19527510,branches
1699054270.2244792,232259518,instructions
1699054270.2244792,301005,branch-misses
1699054270.3322115,29213636,branches
1699054270.3322115,289189325,instructions
1699054270.3322115,811638,branch-misses
1699054270.4401376,30995809,branches
1699054270.4401376,296484763,instructions
1699054270.4401376,874590,branch-misses
1699054270.5480626,31038572,branches
1699054270.5480626,297288434,instructions
1699054270.5480626,836879,branch-misses
1699054270.6560588,29000647,branches
1699054270.6560588,283284060,instructions
1699054270.6560588,1462853,branch-misses
1699054270.7641163,28582965,branches
1699054270.7641163,277206786,instructions
1699054270.7641163,1262473,branch-misses
1699054270.872455,26774235,branches
1699054270.872455,251929798,instructions
1699054270.872455,540589,branch-misses
1699054270.9803393,26839531,branches
1699054270.9803393,252389451,instructions
1699054270.9803393,535973,branch-misses
1699054271.0918307,25890858,branches
1699054271.0918307,243173041,instructions
1699054271.0918307,520547,branch-misses
1699054271.2032483,26450079,branches
1699054271.2032483,248606876,instructions
1699054271.2032483,532564,branch-misses
1699054271.3083344,28311499,branches
1699054271.3083344,259089298,instructions
1699054271.3083344,1700876,branch-misses
1699054271.4162378,30779648,branches
1699054271.4162378,269094013,instructions
1699054271.4162378,3877010,branch-misses
1699054271.5242147,24246729,branches
1699054271.5242147,259398117,instructions
1699054271.5242147,979038,branch-misses
1699054271.6323097,19321947,branches
1699054271.6323097,231614053,instructions
1699054271.6323097,303462,branch-misses
1699054271.7401912,30384574,branches
1699054271.7401912,296036704,instructions
1699054271.7401912,818411,branch-misses
1699054271.8480859,30981632,branches
1699054271.8480859,296280958,instructions
1699054271.8480859,882942,branch-misses
1699054271.9560535,30866680,branches
1699054271.9560535,298215926,instructions
1699054271.9560535,831743,branch-misses
1699054272.0640376,28788375,branches
1699054272.0640376,278814115,instructions
1699054272.0640376,1568479,branch-misses
1699054272.1721263,28243188,branches
1699054272.1721263,273681665,instructions
1699054272.1721263,1127756,branch-misses
1699054272.2803605,26780858,branches
