time,counts,events
1699054912.944163,14760449,branches
1699054912.944163,138801287,instructions
1699054912.944163,297123,branch-misses
1699054913.0484295,7728756,branches
1699054913.0484295,71108863,instructions
1699054913.0484295,223646,branch-misses
1699054913.1489484,246324,branches
1699054913.1489484,1850987,instructions
1699054913.1489484,10497,branch-misses
1699054913.2493215,246252,branches
1699054913.2493215,1850742,instructions
1699054913.2493215,10753,branch-misses
1699054913.3496714,4642816,branches
1699054913.3496714,38787310,instructions
1699054913.3496714,1022970,branch-misses
1699054913.4520593,14895251,branches
1699054913.4520593,132392277,instructions
1699054913.4520593,1507696,branch-misses
1699054913.5561156,10416471,branches
1699054913.5561156,122210123,instructions
1699054913.5561156,435630,branch-misses
1699054913.6641572,10707834,branches
1699054913.6641572,119832788,instructions
1699054913.6641572,159596,branch-misses
1699054913.7682521,14893222,branches
1699054913.7682521,142462960,instructions
1699054913.7682521,442823,branch-misses
1699054913.872122,14919908,branches
1699054913.872122,142659102,instructions
1699054913.872122,422486,branch-misses
1699054913.976064,14934271,branches
1699054913.976064,143309628,instructions
1699054913.976064,397055,branch-misses
1699054914.080249,13715896,branches
1699054914.080249,134074674,instructions
1699054914.080249,760721,branch-misses
1699054914.1841881,4643137,branches
1699054914.1841881,45779971,instructions
1699054914.1841881,297577,branch-misses
1699054914.2847152,246200,branches
1699054914.2847152,1847797,instructions
1699054914.2847152,10615,branch-misses
1699054914.3853354,8920019,branches
1699054914.3853354,85297500,instructions
1699054914.3853354,270468,branch-misses
1699054914.4882798,14732132,branches
1699054914.4882798,138510844,instructions
1699054914.4882798,297546,branch-misses
1699054914.5922594,14736243,branches
1699054914.5922594,138618447,instructions
1699054914.5922594,293816,branch-misses
1699054914.6962721,12198524,branches
1699054914.6962721,114587265,instructions
1699054914.6962721,247148,branch-misses
1699054914.8003738,13687963,branches
1699054914.8003738,128670182,instructions
1699054914.8003738,276649,branch-misses
1699054914.904279,14578324,branches
1699054914.904279,130891767,instructions
1699054914.904279,1320647,branch-misses
1699054915.0082119,14847685,branches
1699054915.0082119,132304094,instructions
1699054915.0082119,1477649,branch-misses
1699054915.1120958,10198119,branches
1699054915.1120958,116320636,instructions
1699054915.1120958,435584,branch-misses
