time,counts,events
1699047456.2831519,9413531,branches
1699047456.2831519,115159259,instructions
1699047456.2831519,389536,branch-misses
1699047456.3881528,11079533,branches
1699047456.3881528,119869478,instructions
1699047456.3881528,191421,branch-misses
1699047456.4913373,14853345,branches
1699047456.4913373,142006904,instructions
1699047456.4913373,458324,branch-misses
1699047456.595527,14808173,branches
1699047456.595527,141515474,instructions
1699047456.595527,430332,branch-misses
1699047456.6992624,14926016,branches
1699047456.6992624,143254720,instructions
1699047456.6992624,402990,branch-misses
1699047456.8032131,13702025,branches
1699047456.8032131,133895479,instructions
1699047456.8032131,774725,branch-misses
1699047456.907263,13810728,branches
1699047456.907263,133483269,instructions
1699047456.907263,559793,branch-misses
1699047457.011355,14749435,branches
1699047457.011355,138692305,instructions
1699047457.011355,296215,branch-misses
1699047457.1153395,14740683,branches
1699047457.1153395,138681910,instructions
1699047457.1153395,293303,branch-misses
1699047457.2193575,14750637,branches
1699047457.2193575,138657737,instructions
1699047457.2193575,294439,branch-misses
1699047457.3233,14689913,branches
1699047457.3233,138129944,instructions
1699047457.3233,297523,branch-misses
1699047457.4273376,15246054,branches
1699047457.4273376,128867611,instructions
1699047457.4273376,2342475,branch-misses
1699047457.5312705,13981991,branches
1699047457.5312705,133843902,instructions
1699047457.5312705,572030,branch-misses
1699047457.635274,8554340,branches
1699047457.635274,109526809,instructions
1699047457.635274,228165,branch-misses
1699047457.7393568,12225452,branches
1699047457.7393568,128634398,instructions
1699047457.7393568,275436,branch-misses
1699047457.843272,14919937,branches
1699047457.843272,142659380,instructions
1699047457.843272,425412,branch-misses
1699047457.947143,14927656,branches
1699047457.947143,142722272,instructions
1699047457.947143,420119,branch-misses
1699047458.0511563,14717906,branches
1699047458.0511563,144687253,instructions
1699047458.0511563,436835,branch-misses
1699047458.1553447,13493402,branches
1699047458.1553447,127829410,instructions
1699047458.1553447,840938,branch-misses
1699047458.2593014,14193783,branches
1699047458.2593014,137526154,instructions
1699047458.2593014,414151,branch-misses
1699047458.3633635,14732598,branches
1699047458.3633635,138602057,instructions
1699047458.3633635,295087,branch-misses
1699047458.4673593,14739807,branches
1699047458.4673593,138594234,instructions
1699047458.4673593,293463,branch-misses
1699047458.571272,14728424,branches
1699047458.571272,138470545,instructions
1699047458.571272,294677,branch-misses
1699047458.675339,14751592,branches
1699047458.675339,138697165,instructions
1699047458.675339,298457,branch-misses
1699047458.7793097,14881487,branches
1699047458.7793097,125673036,instructions
1699047458.7793097,2457888,branch-misses
1699047458.883328,14183854,branches
1699047458.883328,136531081,instructions
1699047458.883328,601360,branch-misses
1699047458.987276,7414095,branches
1699047458.987276,101211529,instructions
1699047458.987276,78551,branch-misses
1699047459.0913293,13535404,branches
1699047459.0913293,138105289,instructions
1699047459.0913293,311985,branch-misses
1699047459.1952178,14903046,branches
1699047459.1952178,142669007,instructions
1699047459.1952178,423175,branch-misses
1699047459.2992435,14946657,branches
1699047459.2992435,142851059,instructions
1699047459.2992435,412576,branch-misses
1699047459.4031434,14459203,branches
1699047459.4031434,141713689,instructions
1699047459.4031434,562843,branch-misses
1699047459.5071316,13378796,branches
1699047459.5071316,129268309,instructions
1699047459.5071316,799837,branch-misses
1699047459.6112,14357302,branches
1699047459.6112,136393280,instructions
1699047459.6112,310829,branch-misses
1699047459.7154155,12869196,branches
1699047459.7154155,121056850,instructions
1699047459.7154155,258429,branch-misses
1699047459.8193402,14709860,branches
1699047459.8193402,138309264,instructions
1699047459.8193402,291784,branch-misses
1699047459.9233491,14748934,branches
1699047459.9233491,138660158,instructions
1699047459.9233491,296181,branch-misses
1699047460.027347,14603709,branches
1699047460.027347,136047736,instructions
1699047460.027347,330237,branch-misses
1699047460.131252,15045049,branches
1699047460.131252,126923945,instructions
1699047460.131252,2452516,branch-misses
1699047460.2352383,13248048,branches
1699047460.2352383,130339859,instructions
1699047460.2352383,545893,branch-misses
1699047460.3392503,7343295,branches
1699047460.3392503,103949015,instructions
1699047460.3392503,84375,branch-misses
1699047460.4432886,14583750,branches
1699047460.4432886,143811986,instructions
1699047460.4432886,364670,branch-misses
1699047460.5471501,14911029,branches
1699047460.5471501,142662903,instructions
1699047460.5471501,426512,branch-misses
1699047460.651139,14956853,branches
1699047460.651139,143018510,instructions
1699047460.651139,404246,branch-misses
1699047460.7551317,14281258,branches
1699047460.7551317,139961397,instructions
1699047460.7551317,602371,branch-misses
1699047460.8592675,13435246,branches
1699047460.8592675,130637106,instructions
1699047460.8592675,766338,branch-misses
1699047460.9633925,14665979,branches
1699047460.9633925,138065833,instructions
1699047460.9633925,296923,branch-misses
1699047461.0673606,15108262,branches
1699047461.0673606,141969641,instructions
1699047461.0673606,309985,branch-misses
1699047461.179174,13785436,branches
1699047461.179174,129490199,instructions
1699047461.179174,280830,branch-misses
1699047461.283417,12558388,branches
1699047461.283417,117949140,instructions
1699047461.283417,255672,branch-misses
1699047461.3874044,14169649,branches
1699047461.3874044,131928501,instructions
1699047461.3874044,347737,branch-misses
1699047461.4913483,15562239,branches
1699047461.4913483,129519564,instructions
1699047461.4913483,2415561,branch-misses
1699047461.5952127,12662263,branches
1699047461.5952127,127592933,instructions
1699047461.5952127,542225,branch-misses
1699047461.6992512,7528445,branches
1699047461.6992512,106471707,instructions
1699047461.6992512,91010,branch-misses
1699047461.803295,14829385,branches
1699047461.803295,145059956,instructions
1699047461.803295,370104,branch-misses
1699047461.9072394,14910155,branches
1699047461.9072394,142625322,instructions
1699047461.9072394,427549,branch-misses
1699047462.0111268,14966372,branches
1699047462.0111268,143165690,instructions
1699047462.0111268,399885,branch-misses
1699047462.115128,14166280,branches
