time,counts,events
0.200254838,42275761,branches
0.200254838,479148057,instructions
0.200254838,1195886,branch-misses
0.401602678,58532360,branches
0.401602678,553949943,instructions
0.401602678,1848217,branch-misses
0.602715157,56673537,branches
0.602715157,546454556,instructions
0.602715157,2210256,branch-misses
0.803693477,60661300,branches
0.803693477,554936889,instructions
0.803693477,2723322,branch-misses
1.0202847,26875521,branches
1.0202847,249575279,instructions
1.0202847,603827,branch-misses
1.222291285,26963365,branches
1.222291285,250229897,instructions
1.222291285,600867,branch-misses
1.424415211,26898362,branches
1.424415211,249542494,instructions
1.424415211,604493,branch-misses
1.626754603,26881083,branches
1.626754603,249525143,instructions
1.626754603,610236,branch-misses
1.828662341,28497256,branches
1.828662341,246218957,instructions
1.828662341,3402175,branch-misses
2.030456697,29072560,branches
2.030456697,262114886,instructions
2.030456697,2312061,branch-misses
2.232306,21052408,branches
2.232306,227500307,instructions
2.232306,944972,branch-misses
2.434167855,30296512,branches
2.434167855,309607855,instructions
2.434167855,1329612,branch-misses
2.644031912,43667046,branches
2.644031912,380259470,instructions
2.644031912,2068992,branch-misses
2.849527407,30407614,branches
2.849527407,286715060,instructions
2.849527407,965472,branch-misses
3.051277448,29894019,branches
3.051277448,282409399,instructions
3.051277448,874572,branch-misses
3.252818743,29164434,branches
3.252818743,283174473,instructions
3.252818743,1038713,branch-misses
3.454500347,27059734,branches
3.454500347,255108222,instructions
3.454500347,1695830,branch-misses
3.656352105,28435648,branches
3.656352105,266874661,instructions
3.656352105,1020097,branch-misses
3.858247775,27055908,branches
3.858247775,251178566,instructions
3.858247775,606020,branch-misses
4.060285734,39020071,branches
4.060285734,354539296,instructions
4.060285734,1168636,branch-misses
4.269689762,57086398,branches
4.269689762,523260525,instructions
4.269689762,1577657,branch-misses
4.470913361,56469862,branches
4.470913361,498326957,instructions
4.470913361,5566118,branch-misses
4.672086179,39960851,branches
4.672086179,458753017,instructions
4.672086179,1222989,branch-misses
4.873283796,58912556,branches
4.873283796,563853853,instructions
4.873283796,1706425,branch-misses
5.076308776,59090097,branches
5.076308776,569178679,instructions
5.076308776,2154603,branch-misses
5.284454135,54129453,branches
5.284454135,514655422,instructions
5.284454135,2052552,branch-misses
5.49269918,52674763,branches
5.49269918,492589304,instructions
5.49269918,1093878,branch-misses
5.703711834,61100824,branches
5.703711834,557723666,instructions
5.703711834,1793227,branch-misses
5.920800065,61362282,branches
5.920800065,543958724,instructions
5.920800065,6062767,branch-misses
6.121954512,40198352,branches
6.121954512,460463468,instructions
6.121954512,1057281,branch-misses
6.323150833,60359075,branches
6.323150833,570987435,instructions
6.323150833,1900346,branch-misses
6.524342623,71910955,branches
6.524342623,659381855,instructions
6.524342623,3169454,branch-misses
6.728870398,52295612,branches
6.728870398,496330235,instructions
6.728870398,1817503,branch-misses
6.930097611,50739750,branches
6.930097611,474396853,instructions
6.930097611,1061859,branch-misses
7.13138748,50940097,branches
7.13138748,476280692,instructions
7.13138748,1068909,branch-misses
7.332715368,67957437,branches
7.332715368,597278457,instructions
7.332715368,6609017,branch-misses
7.540533508,44400064,branches
7.540533508,495208975,instructions
7.540533508,1281309,branch-misses
7.741693433,58793619,branches
7.741693433,559300053,instructions
7.741693433,1739274,branch-misses
7.942832633,56377367,branches
7.942832633,543001237,instructions
7.942832633,2337283,branch-misses
8.143867721,52052659,branches
8.143867721,494728196,instructions
8.143867721,1662515,branch-misses
8.345124003,50866929,branches
8.345124003,475616016,instructions
8.345124003,1060557,branch-misses
8.546349504,50953492,branches
8.546349504,476286493,instructions
8.546349504,1069715,branch-misses
8.747534957,57411869,branches
8.747534957,513454081,instructions
8.747534957,5928756,branch-misses
8.948670622,51571017,branches
8.948670622,553079938,instructions
8.948670622,1795008,branch-misses
9.156545858,48764362,branches
9.156545858,458205562,instructions
9.156545858,1547784,branch-misses
9.358315576,29957202,branches
9.358315576,283150726,instructions
9.358315576,873360,branch-misses
9.560098053,28555736,branches
9.560098053,276670157,instructions
9.560098053,1281727,branch-misses
9.761925429,26965208,branches
9.761925429,257741418,instructions
9.761925429,1562326,branch-misses
9.963973846,27560346,branches
9.963973846,255972314,instructions
9.963973846,757671,branch-misses
10.166027524,26922085,branches
10.166027524,250096218,instructions
10.166027524,598788,branch-misses
10.368257604,27804103,branches
10.368257604,257366851,instructions
10.368257604,668369,branch-misses
10.587681397,44178108,branches
10.587681397,380842806,instructions
10.587681397,1822107,branch-misses
10.808972037,37052511,branches
10.808972037,325389950,instructions
10.808972037,1424151,branch-misses
11.010956556,28122225,branches
11.010956556,249207117,instructions
11.010956556,2429637,branch-misses
11.212866805,30133381,branches
11.212866805,260700014,instructions
